Participant_Number,Condition,Core_ID,Day,Core working order during session,Beginning_Max_Length_(cm),Beginning_Max_Width_(cm),Beginning_Max_Thickness_(cm),Beginning_Mass_(g),Ending_Mass_(g),Reduction_Intensity_%,Number_of_Detached_Pieces_Total,Utility_of_Detached_Pieces_Average,Utility_of_Detached_Pieces_Total,Number_of_Whole_Flakes_Total,Weight_of_Whole_Flakes_Average,Weight_of_Whole_Flakes_Total,Utility_of_Whole_Flakes_Average,Utility_of_Whole_Flakes_Total,Quantity,Quality,Economy
43,Adult,587,2,3,14.1,8.4,5.2,686,88.3,87.12827988,21,41.79138357,883.4728376,3,27,81,48.61914836,145.8574451,0.18286,-0.18394,-1.19092
43,Adult,620,3,1,13.1,9.2,11,871,85.6,90.17221584,14,47.89602673,667.931689,4,115.25,461,52.11000878,208.4400351,0.76758,1.55097,-0.68776
43,Adult,607,3,2,10.4,7.9,6.7,582,187,67.86941581,8,42.20687933,334.1101558,2,68,136,45.75175817,91.50351634,-0.58931,0.76870,-0.37716
43,Adult,623,3,3,18.8,13,6.4,1165,114,90.21459227,34,40.38400778,1418.455092,3,13.66666667,41,37.31653665,111.94961,0.65207,-1.07099,-2.45552
43,Adult,617,4,1,15.5,9.9,8.8,807,37.7,95.3283767,16,44.25843944,663.6996472,4,71.5,286,46.05198693,184.2079477,0.42206,0.59160,-1.01374
43,Adult,629,4,2,18,12.9,6.3,1042,88,91.5547025,25,49.51383458,1199.690819,6,83.5,501,60.39128541,362.3477125,1.74342,0.78802,-0.47900
43,Adult,608,4,3,11.2,9.7,7.8,482,31,93.56846473,15,39.75489956,602.6939637,6,45.66666667,274,42.53287048,255.1972229,0.39986,-0.27587,-0.62186
43,Adult,598,5,1,11.1,8.7,6.1,473,93.4,80.25369979,18,33.47312187,521.1946482,5,10,20,32.30515751,64.61031501,-0.46530,-1.21932,-1.27653
43,Adult,616,5,2,13.3,9.4,7.9,729,71.7,90.16460905,13,44.85343757,542.4320758,2,61.5,123,56.02528787,112.0505757,-0.09978,0.98934,-0.81384
43,Adult,631,5,3,14.5,12.2,6.4,1101,69,93.73297003,9,48.23038952,420.2108869,3,118,354,56.15236045,168.4570814,0.30852,1.96029,-0.55938
44,Adult,529,1,1,10.8,10.2,7.2,516,142.9,72.30620155,6,49.6611442,281.4070928,2,77,154,57.94103039,115.8820608,-0.41423,1.64476,0.20265
44,Adult,565,1,2,18.2,11.6,6.5,1293,381,70.53364269,24,47.77050925,1214.623935,15,40.2,603,54.58520738,818.7781107,2.60122,-1.21529,2.11364
44,Adult,581,1,3,11.3,8.9,8.8,750,86,88.53333333,20,42.48936515,864.3655955,11,31.90909091,351,49.77851142,547.5636256,1.42749,-0.98229,0.68926
44,Adult,585,2,1,13.6,9.1,5.6,586,128.1,78.13993174,21,39.91934169,857.0649226,8,20.375,163,44.61483837,356.9187069,0.67416,-1.08272,-0.06613
44,Adult,589,2,2,13.2,10.2,7,821,75.1,90.85261876,28,40.73286087,1101.43705,10,17.55555556,158,41.10007983,369.9007184,1.17511,-1.48467,-0.61070
44,Adult,595,2,3,18.2,13.4,7.8,1264,67.7,94.64398734,19,38.12378191,843.587482,9,50.55555556,455,44.7059919,402.3539271,1.23792,-0.71240,-0.29152
44,Adult,610,3,1,16.2,12.3,5.7,988,75.8,92.32793522,31,38.98078474,1266.837271,13,21.23076923,276,42.14560065,547.8928084,1.88680,-1.98918,-0.17823
44,Adult,627,3,2,13.9,11.2,9.3,1281,86.1,93.27868852,37,45.25636022,1658.959101,21,29.85714286,627,46.74852715,981.7190702,3.79244,-2.59855,1.54152
44,Adult,605,3,3,10.8,9.5,6.2,473,65.4,86.17336152,16,41.14711913,588.2497497,11,14.72727273,162,37.89550318,416.850535,0.60236,-1.35096,0.48378
44,Adult,625,4,1,12.8,8.7,8.2,1163,73,93.72312984,33,40.30333779,1390.573739,14,23.07142857,323,42.41323509,593.7852913,2.20985,-2.06242,-0.10138
44,Adult,614,4,2,12.8,10.7,6.4,792,70.2,91.13636364,24,45.08668258,1069.140957,6,32.66666667,196,48.56340353,291.3804212,0.92134,-0.37264,-0.75441
44,Adult,600,4,3,13,9.5,7.3,647,55,91.4992272,20,45.07561143,897.8119998,11,22.63636364,249,44.34989577,487.8488535,1.22730,-1.05997,0.44813
44,Adult,628,5,1,15.2,13.5,5.3,1271,86.4,93.20220299,36,45.20096765,1664.510987,14,32.92857143,461,47.33025325,662.6235455,2.81474,-1.70215,0.06881
44,Adult,603,5,2,11.4,9.9,5,527,73.6,86.0341556,13,44.05639376,583.7683086,2,44,88,57.22738985,114.4547797,-0.17600,0.71406,-0.64389
44,Adult,619,5,3,16.9,12.8,7.6,932,66.8,92.83261803,24,46.35988164,992.4470088,10,20.1,201,43.70110247,437.0110247,1.22459,-1.02130,0.00728
45,Adult,584,1,1,14.8,12.8,5.7,1075,105.5,90.18604651,30,38.72091708,1256.853154,14,26.21428571,367,46.25604867,647.5846814,2.16911,-1.97764,0.34114
45,Adult,583,1,2,11.9,10.6,5.8,739,138,81.32611637,16,39.80009948,642.748215,3,41,123,44.15585678,132.4675703,-0.11651,-0.05827,-0.97931
45,Adult,521,1,3,12.8,9,5.9,544,211,61.21323529,13,41.95553592,537.9675741,3,18.66666667,56,44.78270403,134.3481121,-0.48574,-0.21880,-0.10626
45,Adult,588,2,1,12.7,11.3,4.8,559,78,86.04651163,14,36.6225116,594.6625296,9,27.33333333,246,45.10818202,405.9736382,0.58124,-1.02895,0.29105
45,Adult,593,2,2,15.9,10.3,9.1,1217,76,93.75513558,25,42.32406447,1040.546363,11,27.09090909,298,48.17581394,529.9339533,1.58613,-1.21767,0.17584
45,Adult,590,2,3,16.1,10.8,8.8,793,85.3,89.24337957,17,47.13728009,798.1964255,8,32.375,259,50.27461612,402.1969289,0.90888,-0.27140,0.34796
45,Adult,602,3,1,11.6,6.1,5.1,419,84,79.9522673,16,42.86949966,730.7938961,4,19.25,77,42.95005269,171.8002108,-0.05680,-0.35659,-0.60543
45,Adult,612,3,2,18.4,12.4,5.7,925,128,86.16216216,31,42.31517456,1079.715106,10,35.6,356,43.32693176,433.2693176,1.60780,-1.18314,-0.37931
45,Adult,621,3,3,18.5,12.4,6.6,1053,56.6,94.62488129,19,41.62199784,794.7653845,3,24.33333333,73,45.46505489,136.3951647,0.06649,-0.20726,-1.31490
45,Adult,569,4,1,12.5,10.3,5.7,925,129,86.05405405,21,40.64567604,854.1024919,9,50.77777778,457,42.83891768,385.5502592,1.23723,-0.67149,-0.16553
45,Adult,632,4,2,16,12,9.4,1178,124,89.47368421,22,42.25175026,905.1340053,5,66.6,333,47.17212625,235.8606313,0.84849,0.12805,-1.05511
45,Adult,597,4,3,9,7.5,7.2,427,158.7,62.83372365,8,47.49305887,386.7631481,5,24.6,123,50.90239744,254.5119872,-0.25512,0.19595,0.97290
45,Adult,604,5,1,11.2,8.6,5.1,471,92,80.4670913,12,58.54506989,686.3914087,7,24.85714286,174,40.5441294,283.8089058,0.36623,0.29563,0.67365
45,Adult,618,5,2,19.3,10.2,6.8,866,85,90.18475751,19,43.80878479,866.1278694,11,32.90909091,362,47.0573509,517.6308599,1.38364,-0.90091,0.60601
45,Adult,630,5,3,14.3,13.4,9.2,1201,613,48.95920067,6,51.72496176,301.290409,4,57.25,229,47.19528098,188.7811239,-0.35965,0.94807,1.09258
46,Adult,609,1,1,11.9,11.7,8.3,817,194.6,76.18115055,10,42.8861129,429.3911232,1,52,52,61.04144906,61.04144906,-0.53419,1.02960,-0.44031
46,Adult,679,1,2,13.1,11.1,7.5,1020,284.8,72.07843137,14,41.11408504,572.5027608,3,13.33333333,40,42.95601607,128.8680482,-0.43423,-0.36617,-0.48154
46,Adult,662,2,1,14.8,14.6,9.7,997,210.9,78.84653962,20,43.78210219,861.5386498,2,14,28,47.449765,94.89953001,-0.10674,-0.15774,-1.05073
46,Adult,677,2,2,16,10.1,7.9,1047,166.3,84.1165234,16,53.87480829,794.7225108,2,18,36,54.61006779,109.2201356,-0.03874,0.73081,-0.41115
46,Adult,644,2,3,14.6,5.7,6.2,539,176.4,67.27272727,11,42.05901108,395.5521769,1,39,39,57.55280851,57.55280851,-0.66560,0.68907,-0.29236
46,Adult,673,3,1,21.1,10.1,10.2,1083,85.1,92.1421976,19,42.28076112,777.3616191,3,16,48,41.21165763,123.6349729,-0.05123,-0.38084,-1.30513
46,Adult,671,3,2,16.6,9.5,7.7,946,252.2,73.34038055,17,51.72745613,759.7824966,1,95,95,64.01678828,64.01678828,0.09230,1.90927,-0.71704
46,Adult,648,3,3,12.9,8,7.2,678,190.9,71.84365782,10,41.98581921,413.6638074,0,0,0,0,0,-1.36177,-1.07316,-1.68768
46,Adult,672,4,1,17.5,9.5,7.7,919,287.4,68.72687704,21,46.26848235,968.0705569,6,22.33333333,134,47.66723772,286.0034263,0.54426,-0.47365,0.00606
46,Adult,689,4,2,15.1,9.8,7,1016,145.2,85.70866142,34,46.01184768,1541.461563,10,26.8,268,51.40536582,514.0536582,2.03192,-1.19174,-0.25495
46,Adult,646,4,3,10.6,9.6,5.3,567,96.2,83.0335097,12,45.54917261,552.8885052,3,66,198,52.93901698,158.8170509,0.03446,0.89877,-0.44734
46,Adult,651,5,1,9.5,9.1,6.4,451,106.6,76.36363636,16,42.53709365,600.7022974,4,19,76,42.84710669,171.3884268,-0.16497,-0.36092,-0.45254
46,Adult,656,5,2,12.8,8.1,7,985,104.8,89.36040609,21,49.62844758,983.0538415,4,59.25,237,58.23722929,232.9489172,0.82837,0.76043,-0.62816
46,Adult,683,5,3,13.3,10.5,9.9,1280,232.5,81.8359375,21,48.62864367,1002.237065,6,75.16666667,451,58.79179742,352.7507845,1.34571,0.68098,-0.02414
47,Adult,650,1,1,12.5,9.6,5.3,537,285,46.9273743,7,33.88027511,255.8088966,1,8,8,30.15088094,30.15088094,-1.40482,-0.77125,-0.38134
47,Adult,682,1,2,10.8,10.7,8.2,1089,326,70.06427916,16,45.13297705,689.3444452,1,182,182,57.31736289,57.31736289,0.18412,2.53599,-1.49571
47,Adult,638,2,1,14.3,12.4,5,676,182,73.07692308,12,50.03314439,590.3623393,3,42,126,51.70570996,155.1171299,-0.11817,0.74540,0.01724
47,Adult,658,2,2,12,11.2,6.4,759,69,90.90909091,20,47.54880651,812.8752277,3,44.33333333,133,44.58021396,133.7406419,0.24485,0.33634,-1.18444
47,Adult,676,2,3,13.6,10.8,8,1226,216,82.3817292,26,44.8214509,1125.589268,4,114.75,459,48.47100116,193.8840046,1.24226,0.91518,-1.51715
47,Adult,645,3,1,13.6,7.8,7.6,610,127,79.18032787,7,41.77852601,285.7969432,2,41,82,39.20652186,78.41304372,-0.77657,0.31222,-0.61585
47,Adult,670,3,2,13.8,11.4,7.3,993,357,64.04833837,20,46.00537296,897.1684594,3,68,204,51.99947736,155.9984321,0.35051,0.61379,-0.57041
47,Adult,678,3,3,16.8,12.2,8.8,1294,241,81.3755796,16,43.06983219,672.4862587,4,155.25,621,58.58509506,234.3403802,1.09797,1.90498,-0.72859
47,Adult,669,4,1,19.9,11,6,940,154,83.61702128,23,51.97514028,1207.990913,8,24.25,194,46.61079695,372.8863756,1.16758,-0.43361,0.02800
