Participant_Number,Condition,Core_ID,Day,Core working order during session,Beginning_Max_Length_(cm),Beginning_Max_Width_(cm),Beginning_Max_Thickness_(cm),Beginning_Mass_(g),Ending_Mass_(g),Reduction_Intensity_%,Number_of_Detached_Pieces_Total,Utility_of_Detached_Pieces_Average,Utility_of_Detached_Pieces_Total,Number_of_Whole_Flakes_Total,Weight_of_Whole_Flakes_Average,Weight_of_Whole_Flakes_Total,Utility_of_Whole_Flakes_Average,Utility_of_Whole_Flakes_Total,Quantity,Quality,Economy
49,Adult,675,4,3,17.8,9.3,9.2,1177,128.5,89.08241291,20,34.26276536,635.3978898,3,9.666666667,29,33.5943971,100.7831913,-0.32818,-1.06900,-1.68198
49,Adult,642,5,1,18.1,9.3,4,617,154,75.04051864,5,49.45036205,257.6423155,1,12,12,39.05985679,39.05985679,-1.05537,0.49430,-0.16625
49,Adult,692,5,2,17.8,15.8,5.9,1230,186.5,84.83739837,25,55.45009367,1434.439742,3,43.66666667,131,49.42666863,148.2800059,0.84820,0.58773,-1.19743
49,Adult,660,5,3,15.9,11.1,6.3,890,150.8,83.05617978,17,53.66442895,831.9035212,1,146,146,65.14896765,65.14896765,0.39855,2.71932,-1.19406
50,Adult,665,1,1,13.6,11.3,6.4,988,201.7,79.58502024,26,41.09273503,1048.036029,6,49.66666667,298,42.0339974,252.2039844,0.92485,-0.53639,-1.00983
50,Adult,693,1,2,15.1,15.1,6.1,1161,601,48.23428079,12,46.40949946,530.9927932,1,131,131,56.55222418,56.55222418,-0.31941,1.96949,-0.38782
50,Adult,694,2,1,16.8,7.6,7.3,1205,325.1,73.02074689,21,46.26229216,974.0750805,10,61,610,52.18038845,521.8038845,1.78878,-0.25034,0.90512
50,Adult,666,2,2,17.1,13.6,5.8,999,96,90.39039039,30,42.44158816,1256.862629,8,48.125,385,50.54982964,404.3986371,1.69594,-0.65311,-0.71284
50,Adult,704,3,1,16.2,14.2,7.4,1184,670,43.41216216,9,38.77662481,348.62144,1,59,59,42.91568341,42.91568341,-0.98020,0.38361,-0.23820
50,Adult,699,3,2,18.2,11.4,5.2,931,135.4,85.45649839,32,38.42327475,1194.629044,5,36.8,184,41.1373824,205.686912,0.89505,-0.91830,-1.77849
50,Adult,697,3,3,17.1,7.5,5.1,539,85,84.23005566,20,42.18536793,833.1141759,6,21.5,129,41.41918688,248.5151213,0.38783,-0.71314,-0.61063
50,Adult,702,4,1,14.4,10.3,8.3,1275,424.1,66.7372549,22,39.61721044,895.2008535,9,59,531,48.61472201,437.5324981,1.38332,-0.61351,0.41221
50,Adult,698,4,2,17,7.6,7.2,651,180,72.35023041,26,45.5264722,1126.336217,6,19.16666667,115,50.61796174,303.7077704,0.80090,-0.63520,-0.28942
50,Adult,701,4,3,13.8,11.5,7.8,784,249.2,68.21428571,22,45.5848474,880.4131811,9,24.88888889,224,40.07662335,360.6896101,0.81726,-0.94554,0.32507
50,Adult,696,5,1,14.1,11.5,4.6,561,118.5,78.87700535,18,46.49036601,868.3272954,5,35,175,35.49306985,177.4653493,0.26796,-0.26814,-0.73087
50,Adult,700,5,2,16.7,11.2,4.1,800,142,82.25,19,44.80661475,821.8503513,5,26.4,132,52.62069782,263.1034891,0.43178,-0.15248,-0.25489
50,Adult,703,5,3,17.2,9,8.8,1195,161,86.52719665,29,47.21769933,1334.483173,10,45.7,457,51.1950212,511.950212,2.06416,-0.66314,0.05750
